Longitud de onda;M15;M210;M38
190;622.957;625.901;625.901
190.5;629.129;632.613;632.613
191;635.332;638.934;638.934
191.5;640.648;643.947;643.947
192;644.802;647.375;647.375
192.5;648.647;650.072;650.072
193;652.55;652.407;652.407
193.5;655.376;654.349;654.349
194;656.326;656.326;656.326
194.5;657.99;657.99;657.99
195;660.093;660.093;660.093
195.5;661.85;661.85;661.85
196;662.971;662.971;662.971
196.5;663.331;663.331;663.331
197;662.694;662.694;662.694
197.5;661.112;661.112;661.112
198;658.967;658.967;658.967
198.5;657.16;657.16;657.16
199;656.067;656.067;656.067
199.5;655.401;655.401;655.401
200;656.646;656.646;656.646
200.5;659.755;659.755;659.755
201;664.308;664.308;664.308
201.5;669.936;669.936;669.936
202;676.327;676.327;676.327
202.5;682.766;682.766;682.766
203;689.012;689.012;689.012
203.5;695.143;695.143;695.143
204;700.339;700.339;700.339
204.5;703.831;703.831;703.831
205;705.703;705.703;705.703
205.5;705.904;705.904;705.904
206;704.579;704.579;704.579
206.5;701.95;701.95;701.95
207;698.041;698.041;698.041
207.5;692.704;692.704;692.704
208;686.941;686.941;686.941
208.5;682.136;682.136;682.136
209;678.439;678.439;678.439
209.5;675.907;675.907;675.907
210;674.378;674.378;674.378
210.5;674.346;674.346;674.346
211;676.149;676.149;676.149
211.5;678.812;678.812;678.812
212;681.565;681.565;681.565
212.5;683.84;683.84;683.84
213;685.903;685.903;685.903
213.5;687.925;687.925;687.925
214;690.327;690.327;690.327
214.5;692.933;692.933;692.933
215;695.882;695.882;695.882
215.5;698.971;698.971;698.971
216;702.333;702.333;702.333
216.5;705.633;705.633;705.633
217;709.17;709.17;709.17
217.5;712.455;712.455;712.455
218;715.794;715.794;715.794
218.5;719.23;719.23;719.23
219;724.079;724.079;724.079
219.5;730.057;730.057;730.057
220;736.976;736.976;736.976
220.5;743.82;743.82;743.82
221;750.553;750.553;750.553
221.5;756.846;756.846;756.846
222;762.595;762.595;762.595
222.5;767.04;767.04;767.04
223;770.446;770.446;770.446
223.5;774.18;774.18;774.18
224;779.726;779.853;779.726
224.5;786.976;789.548;786.976
225;796.226;800.496;796.228
225.5;808.336;813.35;811.345
226;826.684;824.44;832.263
226.5;853.471;834.96;856.744
227;887.785;849.525;882.453
227.5;924.539;858.976;901.885
228;959.046;861.878;916.555
228.5;987.473;859.058;923.085
229;1007.317;854.295;918.265
229.5;1015.949;846.282;908.784
230;1012.243;833.097;895.375
230.5;998.128;817.475;879.106
231;978.378;799.469;861.469
231.5;959.689;783.407;847.966
232;944.486;769.256;834.59
232.5;932.878;751.467;818.921
233;924.249;732.681;802.193
233.5;919.346;717.276;786.059
234;918.039;703.458;767.978
234.5;919.022;692.489;756.545
235;918.788;681.145;743.204
235.5;915.52;671.88;727.951
236;909.679;663.159;713.688
236.5;903.644;653.587;705.306
237;897.45;642.357;693.433
237.5;891.215;631.696;682.09
238;885.139;620.524;670.282
238.5;881.726;611.508;660.061
239;881.167;601.091;651.418
239.5;883.887;593.811;643.84
240;887.615;585.396;637.11
240.5;895.087;577.901;629.138
241;900.456;570.359;621.67
241.5;906.3;564.332;616.032
242;906.437;558.989;608.085
242.5;902.41;554.238;600.89
243;891.833;548.539;594.725
243.5;879.313;544.562;588.547
244;866.727;539.901;584.965
244.5;853.153;535.717;579.902
245;841.217;531.263;574.524
245.5;838.342;526.05;569.116
246;837.017;521.104;564.513
246.5;838.602;517.638;561.088
247;839.903;515.431;558.292
247.5;843.315;512.937;555.723
248;840.261;512.286;554.477
248.5;838.295;512.752;554.847
249;831.21;512.741;555.373
249.5;818.21;512.849;554.901
250;816.612;512.828;554.523
250.5;818.699;512.122;553.916
251;819.609;511.411;553.518
251.5;820.146;511.255;554.06
252;820.215;510.53;553.497
252.5;823.532;510.395;553.429
253;825.621;510.757;553.343
253.5;828.545;510.748;554.277
254;823.401;511.661;554.191
254.5;813.022;513.516;554.636
255;815.256;515.1;554.231
255.5;811.332;516.331;553.627
256;808.466;517.785;554.411
256.5;812.415;517.987;554.815
257;809.665;517.785;555.099
257.5;812.037;517.627;556.036
258;816.266;516.409;556.255
258.5;820.358;515.48;557.085
259;819.029;515.657;557.605
259.5;814.054;515.894;558.185
260;819.937;516.632;558.267
260.5;822.872;517.844;559.319
261;832.059;518.927;561.356
261.5;843.432;518.79;561.265
262;845.332;518.025;559.775
262.5;841.732;517.394;559.703
263;832.987;517.606;559.134
263.5;824.224;517.436;558.172
264;813.983;518.017;555.918
264.5;806.966;517.475;553.411
265;804.194;517.849;552.964
265.5;802.949;517.093;552.853
266;808.539;515.513;552.856
266.5;818.654;513.525;550.655
267;825.261;510.41;548.42
267.5;828.368;507.179;548.244
268;821.403;504.848;546.41
268.5;812.799;503.242;543.896
269;802.283;502.353;541.472
269.5;792.055;500.49;538.736
270;786.253;499.398;537.108
270.5;784.252;497.4;535.884
271;785.213;495.688;534.211
271.5;793.644;494.321;532.176
272;794.731;492.114;530.445
272.5;799.19;488.32;528.009
273;786.433;485.398;524.589
273.5;775.021;482.496;521.052
274;763.342;479.727;518.318
274.5;757.073;476.181;514.56
275;754.241;472.956;510.73
275.5;746.812;468.953;507.065
276;740.369;465.446;503.057
276.5;738.813;462.282;499.139
277;731.009;459.547;496.256
277.5;729.325;455.787;492.763
278;720.408;452.554;488.379
278.5;718.401;448.913;484.128
279;712.793;445.538;481.283
279.5;709.765;441.848;478.189
280;707.087;438.222;474.279
280.5;699.924;434.134;469.612
281;694.876;430.857;465.179
281.5;691.612;427.645;461.459
282;686.82;424.356;458.125
282.5;681.436;420.494;453.54
283;676.199;416.976;449.042
283.5;670.943;412.969;444.756
284;661.741;408.793;440.719
284.5;654.931;405.028;436.34
285;648.897;400.936;431.819
285.5;641.408;397.026;427.428
286;636.653;393.401;423.82
286.5;633.788;390.054;420.349
287;630.126;386.206;416.721
287.5;624.613;382.482;412.847
288;619.181;379.104;409.186
288.5;613.233;374.951;404.941
289;606.109;370.754;400.331
289.5;598.253;366.661;395.478
290;590.112;362.314;391.071
290.5;582.332;358.638;387.054
291;576.738;355.127;382.962
291.5;571.61;351.933;379.132
292;567.478;348.509;375.903
292.5;562.124;344.929;371.885
293;555.889;341.077;367.574
293.5;549.789;336.571;363.053
294;542.791;332.138;358.209
294.5;535.626;327.681;353.415
295;527.686;323.047;348.667
295.5;519.355;318.745;343.835
296;512.484;314.368;338.866
296.5;505.827;310.266;334.547
297;499.609;306.339;330.16
297.5;493.2;302.157;325.449
298;487.049;298.096;320.993
298.5;480.186;293.966;316.597
299;472.953;289.861;312.169
299.5;466.285;285.508;307.837
300;458.947;281.068;303.405
300.5;451.583;276.346;298.579
301;444.375;271.952;293.828
301.5;437.143;267.517;288.984
302;429.972;263.201;284.19
302.5;422.72;259.045;279.354
303;415.622;254.843;274.66
303.5;408.398;250.583;270.11
304;401.367;246.267;265.534
304.5;394.391;241.781;261.085
305;386.948;237.218;256.41
305.5;379.693;232.634;251.739
306;372.983;228.422;247.247
306.5;366.312;224.151;242.559
307;359.356;219.872;237.766
307.5;352.007;215.655;232.829
308;344.893;211.452;228.048
308.5;337.989;207.179;223.361
309;331.294;202.875;218.797
309.5;324.531;198.585;214.43
310;317.763;194.292;209.965
310.5;311.48;190.2;205.709
311;305.313;186.366;201.731
311.5;299.196;182.76;197.805
312;293.392;179.323;193.843
312.5;287.651;176.051;190.049
313;281.954;172.885;186.309
313.5;276.376;169.644;182.571
314;270.938;166.375;178.982
314.5;265.732;163.148;175.457
315;260.179;159.866;171.93
