Longitud de onda,M1,M2
190,625.28,605.88
190.5,632.686,608.419
191,639.37,614.109
191.5,643.947,617.084
192,647.375,614.874
192.5,650.072,610.697
193,652.407,609.468
193.5,654.349,610.548
194,656.326,614.551
194.5,657.99,616.844
195,660.093,620.206
195.5,661.85,611.61
196,662.971,603.98
196.5,663.331,598.68
197,662.694,593.724
197.5,661.112,583.515
198,658.967,575.269
198.5,657.16,562.469
199,656.067,554.282
199.5,655.401,544.974
200,656.646,531.08
200.5,659.755,516.742
201,664.308,507.177
201.5,669.936,499.616
202,676.33,490.333
202.5,682.814,480.616
203,690.676,467.563
203.5,695.862,455.626
204,700.272,444.208
204.5,699.607,431.776
205,699.48,422.052
205.5,692.797,414.472
206,686.939,407.485
206.5,673.662,398.815
207,665.623,388.69
207.5,654.694,377.754
208,640.865,366.215
208.5,624.146,355.595
209,609.655,345.451
209.5,594.631,336.254
210,581.901,326.851
210.5,567.535,318.041
211,558.092,310.677
211.5,544.175,302.302
212,539.237,294.335
212.5,529.682,287.364
213,518.221,281.166
213.5,507.927,276.163
214,499.786,271.586
214.5,488.675,266.797
215,480.565,261.181
215.5,473.051,255.866
216,466.674,251.299
216.5,460.44,246.804
217,455.621,242.917
217.5,450.14,238.862
218,441.802,235.408
218.5,435.246,231.825
219,426.447,228.106
219.5,418.251,223.918
220,410.804,219.844
220.5,404.01,215.531
221,399.327,211.55
221.5,394.608,207.729
222,388.983,204.317
222.5,382.438,201.071
223,375.97,197.914
223.5,369.616,194.804
224,363.538,191.31
224.5,357.145,187.684
225,351.038,184.018
225.5,344.557,179.947
226,338.237,175.623
226.5,330.967,171.294
227,323.571,166.95
227.5,316.389,163.094
228,309.797,159.368
228.5,303.709,156.072
229,298.72,153.17
229.5,293.779,150.705
230,289.353,148.264
230.5,284.632,145.712
231,279.367,142.821
231.5,273.491,139.633
232,267.389,136.16
232.5,261.145,132.575
233,255.153,129.191
233.5,249.314,126
234,243.601,122.936
234.5,238.467,119.992
235,233.809,117.516
235.5,229.635,115.205
236,225.624,113.141
236.5,221.887,111.254
237,218.482,109.396
237.5,215.222,107.661
238,212.074,106.079
238.5,209.05,104.515
239,205.931,102.901
239.5,203.091,101.254
240,200.382,99.787
